image_id,nutrient,quantity,column,dx,dy,deviation,method,image_mean_dev,gt_image_mean
4.png,salt,0.12,0,2610.5,-17.0,1.392,mahalanobis,1.3109640287769784,1
6.png,vitamin c,28,0,1382.5,28.0,1.0813,mahalanobis,1.2701761904761906,0
6.png,vitamin c,56,0,1392.5,215.0,0.4727,mahalanobis,1.2701761904761906,0
6.png,vitamin c,70,0,1401.0,402.5,0.3326,mahalanobis,1.2701761904761906,0
6.png,vitamin c,9,0,1422.5,600.0,1.0574,mahalanobis,1.2701761904761906,0
6.png,vitamin c,200,0,1364.0,792.0,1.5265,mahalanobis,1.2701761904761906,1
6.png,vitamin c,1,0,1440.0,997.0,2.3686,mahalanobis,1.2701761904761906,1
6.png,magnesium,56,0,1306.5,31.0,1.6775,mahalanobis,1.2701761904761906,1
6.png,magnesium,70,0,1315.0,218.5,1.2312,mahalanobis,1.2701761904761906,0
6.png,magnesium,9,0,1336.5,416.0,0.8235,mahalanobis,1.2701761904761906,0
6.png,magnesium,200,0,1278.0,608.0,1.968,mahalanobis,1.2701761904761906,1
6.png,magnesium,1,0,1354.0,813.0,1.6385,mahalanobis,1.2701761904761906,1
6.png,potassium,70,0,1342.0,27.0,1.2911,mahalanobis,1.2701761904761906,1
6.png,potassium,9,0,1363.5,224.5,0.5423,mahalanobis,1.2701761904761906,0
6.png,potassium,200,0,1305.0,416.5,1.3354,mahalanobis,1.2701761904761906,1
6.png,potassium,1,0,1381.0,621.5,0.9172,mahalanobis,1.2701761904761906,0
6.png,calcium,9,0,1458.5,25.5,1.6479,mahalanobis,1.2701761904761906,1
6.png,calcium,200,0,1400.0,217.5,0.5159,mahalanobis,1.2701761904761906,0
6.png,calcium,1,0,1476.0,422.5,1.5473,mahalanobis,1.2701761904761906,1
6.png,sodium,200,0,1435.0,16.0,1.4045,mahalanobis,1.2701761904761906,1
6.png,sodium,1,0,1511.0,221.0,2.1533,mahalanobis,1.2701761904761906,1
6.png,green tea,1,0,1402.5,22.5,1.141,mahalanobis,1.2701761904761906,0
8.png,energy,2.2,0,782.0,178.0,1.1174,mahalanobis,1.3000318181818182,0
8.png,energy,3.7,0,1221.5,183.5,0.9097,mahalanobis,1.3000318181818182,0
8.png,energy,4.8,0,787.0,348.0,1.0232,mahalanobis,1.3000318181818182,0
8.png,energy,7.9,0,1222.5,359.0,0.8417,mahalanobis,1.3000318181818182,0
8.png,energy,21271,0,784.5,851.5,2.2522,mahalanobis,1.3000318181818182,1
8.png,energy,2823232,0,1218.0,851.5,2.1602,mahalanobis,1.3000318181818182,1
8.png,protein,2.2,0,845.5,2.0,1.3198,mahalanobis,1.3000318181818182,1
8.png,protein,3.7,0,1285.0,7.5,1.5066,mahalanobis,1.3000318181818182,1
8.png,protein,4.8,0,850.5,172.0,0.8727,mahalanobis,1.3000318181818182,0
8.png,protein,7.9,0,1286.0,183.0,1.1565,mahalanobis,1.3000318181818182,0
8.png,protein,21271,0,848.0,675.5,1.5628,mahalanobis,1.3000318181818182,1
8.png,protein,2823232,0,1281.5,675.5,1.7314,mahalanobis,1.3000318181818182,1
8.png,fat,4.8,0,938.0,4.5,1.1323,mahalanobis,1.3000318181818182,0
8.png,fat,7.9,0,1373.5,15.5,1.772,mahalanobis,1.3000318181818182,1
8.png,fat,21271,0,935.5,508.0,0.8539,mahalanobis,1.3000318181818182,0
8.png,fat,2823232,0,1369.0,508.0,1.6152,mahalanobis,1.3000318181818182,1
